RANK,NAME,id joueur,date of birth,country,continent,place of birth,LAT PLAYER,LONG PLAYER,image,TEAM,logo image,headquarters location,LAT TEAM,LONG TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
11,Devin Booker,Devin Booker,1996-10-30T00:00:00Z,United States of America,North America,Grand Rapids,42.96336,-85.66809,Devin Booker (30362063153) (cropped).jpg,Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,guard,26.4,53,34.6,31.8,12,358,0.855,751,0.554,316,0.351,0.546,0.601,27.8,4.5,5.5,1,0.3,2.7,32.3,33.3,37.8,10.2,118.8,109
12,Kyrie Irving,Kyrie Irving,1992-03-23T00:00:00Z,Australia,Oceania,Melbourne,-37.814166666666665,144.96305555555554,Kyrie Irving - 51831823383.jpg,Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,guard,31,40,36.9,29.7,10,179,0.883,471,0.569,348,0.374,0.565,0.604,27.1,5.1,5.3,1,0.8,2.3,32.2,32.4,37.5,9.8,118,111.5
13,Kyrie Irving,Kyrie Irving,1992-03-23T00:00:00Z,Australia,Oceania,Melbourne,-37.814166666666665,144.96305555555554,Kyrie Irving - 51831823383.jpg,Dallas Mavericks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/1200px-Dallas_Mavericks_logo.svg.png,Dallas,32.779166666667,-96.808888888889,guard,31,20,38.1,27.4,8.8,94,0.947,236,0.585,148,0.392,0.586,0.634,27,5,6,1.3,0.6,1.9,32,33,38,9.8,127.7,112.3
14,Jaylen Brown,Jaylen Brown,1996-10-24T00:00:00Z,United States of America,North America,Atlanta,33.756944444444,-84.390277777778,Jaylen Brown 2017.jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,guard,26.5,67,35.9,31.5,12.5,344,0.765,896,0.576,487,0.335,0.55,0.581,26.6,6.9,3.5,1.1,0.4,2.9,33.5,30.1,36.9,9.6,109.8,106.5
15,Ja Morant,Ja Morant,1999-08-10T00:00:00Z,United States of America,North America,Dalzell,34.019722222222,-80.429722222222,Ja Morant (51664923611).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,guard,23.7,61,31.9,34.9,14.5,497,0.748,914,0.519,300,0.307,0.504,0.557,26.2,5.9,8.1,1.1,0.3,3.4,32,34.2,40.1,13.5,114.2,109.6
16,Trae Young,Trae Young,1998-09-19T00:00:00Z,United States of America,North America,Lubbock,33.585,-101.845,Trae Young (2022 All-Star Weekend) (cropped).jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,guard,24.6,73,34.8,32.6,17.7,639,0.886,930,0.476,460,0.335,0.485,0.573,26.2,3,10.2,1.1,0.1,4.1,29.2,36.4,39.3,10.7,116.2,117.5
17,Mikal Bridges,Mikal Bridges,1996-08-30T00:00:00Z,United States of America,North America,Philadelphia,39.952777777778,-75.163611111111,MikalBridgesNets (cropped).jpg,Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,forward,26.6,27,34.2,30.3,8.9,179,0.894,322,0.531,181,0.376,0.543,0.607,26.1,4.5,2.7,1,0.6,1.8,30.6,28.8,33.3,8,117.6,114.6
18,Kevin Durant,Kevin Durant,1988-09-29T00:00:00Z,United States of America,North America,Suitland,38.8486,-76.9244,"Kevin Durant (Wizards v. Warriors, 1-24-2019) (cropped).jpg",Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,forward,34.5,8,33.7,26.8,13.5,48,0.833,87,0.586,41,0.537,0.656,0.697,26,6.4,3.5,0.3,1.3,2.5,32.4,29.5,35.9,9.9,126.5,114.9
19,Zion Williamson,Zion Williamson,2000-07-06T00:00:00Z,United States of America,North America,Salisbury,35.668333333333,-80.478611111111,Zion Williamson 2020.jpg,New Orleans Pelicans,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/New_Orleans_Pelicans_2023.png/260px-New_Orleans_Pelicans_2023.png,New Orleans,29.976111111111113,-90.07833333333333,forward,22.8,29,33,30.4,17.4,248,0.714,450,0.618,19,0.368,0.615,0.652,26,7,4.6,1.1,0.6,3.4,33,30.6,37.6,11.4,120.3,108.3
20,Anthony Davis,Anthony Davis,1993-03-11T00:00:00Z,United States of America,North America,Chicago,41.85003,-87.65005,Anthony Davis pre-game (cropped).jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,forward,30.1,56,34,28.4,11.2,444,0.784,889,0.588,74,0.257,0.573,0.626,25.9,12.6,2.6,1.1,2,2.2,38.5,28.6,41.1,11.1,124.7,104.9
21,Lauri Markkanen,Lauri Markkanen,1997-05-22T00:00:00Z,Finland,Europe,Vantaa,60.3,25.033333333333,"Lauri Markkanen, Cavaliers vs Rockets on December 15, 2021 (cropped).jpg",Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,forward,25.9,66,34.4,26.6,10,399,0.875,634,0.585,511,0.391,0.586,0.64,25.6,8.6,1.9,0.6,0.6,1.9,34.3,27.5,36.1,8.7,125.5,112.6
22,Julius Randle,Julius Randle,1994-11-29T00:00:00Z,United States of America,North America,Dallas,32.779166666667,-96.808888888889,Julius Randle with Lakers.jpg,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,forward,28.4,77,35.5,29.5,13.1,531,0.757,796,0.553,636,0.343,0.536,0.581,25.1,10,4.1,0.6,0.3,2.8,35.1,29.2,39.2,11.4,116.8,106.5
23,De'Aaron Fox,De'Aaron Fox,1997-12-20T00:00:00Z,United States of America,North America,New Orleans,29.976111111111113,-90.07833333333333,DeAaron Fox DBZ 2.jpg,Sacramento Kings,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,Sacramento,38.575277777778,-121.48611111111,guard,25.3,73,33.4,30,12,440,0.78,965,0.583,366,0.325,0.557,0.599,25,4.2,6.1,1.1,0.3,2.5,29.2,31.1,35.3,10.3,119.2,112.2
24,Zach LaVine,Zach LaVine,1995-03-10T00:00:00Z,United States of America,North America,Renton,47.47991666666667,-122.20344444444444,Zach LaVine (2022 All-Star Weekend).jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,guard,28.1,77,36,28.3,12.3,428,0.848,844,0.556,544,0.375,0.558,0.607,24.8,4.5,4.2,0.9,0.2,2.5,29.3,29.1,33.6,8.6,115.6,111
25,Brandon Ingram,Brandon Ingram,1997-09-02T00:00:00Z,United States of America,North America,Kinston,35.270555555556,-77.585,Brandon Ingram 2020.jpg,New Orleans Pelicans,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/New_Orleans_Pelicans_2023.png/260px-New_Orleans_Pelicans_2023.png,New Orleans,29.976111111111113,-90.07833333333333,forward,25.6,45,34.2,30.8,15.1,272,0.882,671,0.507,164,0.39,0.522,0.582,24.7,5.5,5.8,0.7,0.4,3.3,30.2,30.5,36,10.8,112.4,108.5
26,Anthony Edwards,Anthony Edwards,2001-08-05T00:00:00Z,United States of America,North America,Atlanta,33.756944444444,-84.390277777778,Anthony Edwards Georgia (cropped).jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,guard,21.7,79,36,29.9,14.4,422,0.756,963,0.513,579,0.368,0.528,0.563,24.6,5.8,4.4,1.6,0.7,3.3,30.4,29.1,34.9,9.5,106,110.3
27,DeMar DeRozan,DeMar DeRozan,1989-08-07T00:00:00Z,United States of America,North America,Compton,33.896666666667,-118.225,DeMar DeRozan 2022.jpg,Chicago Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,Chicago,41.85003,-87.65005,guard,33.7,74,36.2,27.8,10.5,523,0.872,1161,0.526,142,0.324,0.522,0.592,24.5,4.6,5.1,1.1,0.5,2.1,29.2,29.6,34.3,9.2,118.8,109.1
28,Nikola Jokić,Nikola Jokić,1995-02-19T00:00:00Z,Serbia,Europe,Sombor,45.78,19.12,Nikola Jokic free throw (cropped).jpg,Denver Nuggets,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,Denver,39.739166666667,-104.98472222222,center,28.1,69,33.7,27.2,19.5,415,0.822,873,0.675,149,0.383,0.66,0.701,24.5,11.8,9.8,1.3,0.7,3.6,36.3,34.3,46.2,16.8,134.7,105.3
29,Pascal Siakam,Pascal Siakam,1994-04-02T00:00:00Z,Cameroon,Africa,Douala,04.05,9.7,Pascal Siakam 2018.jpg,Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,Toronto,43.670277777778,-79.386666666667,forward,29,71,37.4,27.2,11.4,474,0.774,1026,0.523,287,0.324,0.515,0.565,24.2,7.8,5.8,0.9,0.5,2.4,32.1,30.1,37.9,11,118.2,108.6
30,Jalen Brunson,Jalen Brunson,1996-08-31T00:00:00Z,United States of America,North America,New Brunswick,40.486666666667,-74.444444444444,Jalen Brunson 2023 (cropped).jpg,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,guard,26.6,68,35,27.2,10.6,392,0.829,873,0.519,322,0.416,0.547,0.597,24,3.5,6.2,0.9,0.2,2.1,27.6,30.2,33.8,9.2,124.6,112.6
31,Paul George,Paul George,1990-05-02T00:00:00Z,United States of America,North America,Palmdale,34.57943,-118.11646,Pacers Paul George.jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,forward,32.9,56,34.6,29.5,14.9,294,0.871,578,0.521,426,0.371,0.536,0.588,23.8,6.1,5.1,1.5,0.4,3.1,29.9,28.9,35,10.5,112.9,107.7
32,Kawhi Leonard,Kawhi Leonard,1991-06-29T00:00:00Z,United States of America,North America,Riverside,33.98222222222222,-117.3725,1 kawhi leonard 2019 nba finals (cropped).jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,forward,31.8,52,33.6,27,9.2,279,0.871,621,0.551,250,0.416,0.572,0.623,23.8,6.5,3.9,1.4,0.5,1.7,30.3,27.8,34.3,10.1,125.1,111.3
33,LaMelo Ball,LaMelo Ball,2001-08-22T00:00:00Z,United States of America,North America,Chino Hills,33.97,-117.75,LaMelo Ball Drew League 2.jpg,Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,Charlotte,35.226944444444,-80.843333333333,guard,21.6,36,35.2,30,15.2,121,0.843,338,0.45,383,0.376,0.51,0.541,23.3,6.4,8.4,1.3,0.3,3.6,29.7,31.7,38.1,12.2,108.5,108.6
34,Bradley Beal,Bradley Beal,1993-06-28T00:00:00Z,United States of America,North America,St. Louis,38.62638888888889,-90.19944444444444,Bradley Beal 2020.jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,guard,29.8,50,33.5,29.2,14.2,228,0.842,659,0.552,219,0.365,0.551,0.593,23.2,3.9,5.4,0.9,0.7,2.9,27.1,28.6,32.5,9.4,113.9,113.7
35,Kristaps Porziņģis,Kristaps Porziņģis,1995-08-02T00:00:00Z,Latvia,Europe,Liepāja,56.508333333333,21.011111111111,Kristaps Porziņģis 2022.jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,27.7,65,32.6,27.4,11.8,416,0.851,662,0.559,356,0.385,0.565,0.627,23.2,8.4,2.7,0.9,1.5,2.1,31.6,25.8,34.2,9.9,121.8,107.3
36,Jimmy Butler,Jimmy Butler,1989-09-14T00:00:00Z,United States of America,North America,Houston,29.762777777778,-95.383055555556,Jimmy Butler (cropped).jpg,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,forward,33.6,64,33.4,25.6,10.2,555,0.85,785,0.564,103,0.35,0.56,0.647,22.9,5.8,5.3,1.8,0.3,1.6,28.7,28.2,34,10.7,135.9,111.3
37,Jalen Green,Jalen Green,2002-02-09T00:00:00Z,United States of America,North America,Merced,37.302222222222,-120.48305555556,Jalen Green (cropped).jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,guard,21.2,76,34.2,28.1,12.8,463,0.786,804,0.471,554,0.338,0.486,0.539,22.1,3.7,3.7,0.8,0.2,2.6,25.9,25.8,29.6,7.9,109.1,119.1
38,Keldon Johnson,Keldon Johnson,1999-10-11T00:00:00Z,United States of America,North America,Chesterfield Court House,37.3764,-77.5039,Keldon Johnson.png,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,forward,23.5,63,32.7,27.9,10.7,327,0.749,706,0.523,407,0.329,0.512,0.551,22,5,2.9,0.7,0.2,2.1,27,24.9,29.9,8.4,108.1,118
39,Klay Thompson,Klay Thompson,1990-02-08T00:00:00Z,United States of America,North America,Los Angeles,34.05223,-118.24368,Klay Thompson (cropped).jpg,Golden State Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/1200px-Golden_State_Warriors_logo.svg.png,San Francisco,37.7775,-122.41638888888889,guard,33.2,69,33,26.4,8.9,132,0.879,521,0.47,731,0.412,0.556,0.576,21.9,4.1,2.4,0.7,0.4,1.8,26,24.2,28.4,7.3,109.6,114.2
40,Bojan Bogdanović,Bojan Bogdanović,1989-04-18T00:00:00Z,Bosnia and Herzegovina,Europe,Mostar,43.34361111111111,17.8075,Bojan Bogdanovic (cropped).jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,forward,34,59,32.1,25.9,13.3,303,0.884,529,0.539,353,0.411,0.57,0.627,21.6,3.8,2.6,0.6,0.1,2.3,25.4,24.2,27.9,7.4,117.7,117.5
41,Darius Garland,Darius Garland,2000-01-26T00:00:00Z,United States of America,North America,Gary,41.580833333333,-87.345555555556,Darius Garland (48885374141).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,guard,23.2,69,35.5,26.9,15,322,0.863,717,0.492,412,0.41,0.537,0.587,21.6,2.7,7.8,1.2,0.1,2.9,24.3,29.4,32.1,8.7,117.7,109.4
42,Desmond Bane,Desmond Bane,1998-06-25T00:00:00Z,United States of America,North America,Richmond,39.830277777778,-84.890555555556,Desmond Bane 2022 (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,guard,24.8,58,31.8,26.1,11.8,205,0.883,532,0.534,407,0.408,0.568,0.606,21.5,5,4.4,1,0.4,2.2,26.5,25.9,30.9,9.8,118.8,107
43,Kyle Kuzma,Kyle Kuzma,1995-07-24T00:00:00Z,United States of America,North America,Flint,43.018888888889,-83.693333333333,Kyle Kuzma - 47931417506.jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,27.7,64,35,27.9,14.3,237,0.73,661,0.533,481,0.333,0.518,0.544,21.2,7.2,3.7,0.6,0.5,3,28.4,24.9,32.2,9.4,102.8,111.7
44,Terry Rozier,Terry Rozier,1994-03-17T00:00:00Z,United States of America,North America,Youngstown,41.096388888889,-80.649166666667,Terry Rozier 2018.jpg,Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,Charlotte,35.226944444444,-80.843333333333,guard,29.1,63,35.3,26.9,10.1,220,0.809,683,0.48,505,0.327,0.484,0.517,21.1,4.1,5.1,1.2,0.3,2.1,25.2,26.2,30.3,8.6,106,114.6
45,Anfernee Simons,Anfernee Simons,1999-06-08T00:00:00Z,United States of America,North America,Altamonte Springs,28.661388888889,-81.391944444444,AnferneeSimons (cropped).jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,guard,23.8,62,35,25.1,10.9,179,0.894,483,0.528,562,0.377,0.548,0.581,21.1,2.6,4.1,0.7,0.2,2.1,23.7,25.1,27.7,7,112.9,117.7
46,James Harden,James Harden,1989-08-26T00:00:00Z,United States of America,North America,Los Angeles,34.05223,-118.24368,"Harden dribbling midcourt, Cavaliers vs Nets on January 17, 2022 (cropped).jpg",Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,guard,33.6,58,36.8,25,18.8,361,0.867,424,0.495,419,0.384,0.536,0.607,21,6.1,10.7,1.2,0.5,3.4,27.1,31.6,37.7,12.1,123.3,110.7
47,C.J. McCollum,CJ McCollum,1991-09-19T00:00:00Z,United States of America,North America,Canton,40.8,-81.375,CJ McCollum (2022 All-Star Weekend) (cropped).jpg,New Orleans Pelicans,https://upload.wikimedia.org/wikipedia/fr/thumb/e/e2/New_Orleans_Pelicans_2023.png/260px-New_Orleans_Pelicans_2023.png,New Orleans,29.976111111111113,-90.07833333333333,guard,31.6,75,35.3,26.4,12,238,0.769,801,0.469,543,0.389,0.515,0.541,20.9,4.4,5.7,0.9,0.5,2.4,25.3,26.6,31,9.1,109.5,111.2
48,Jordan Clarkson,Jordan Clarkson,1992-06-07T00:00:00Z,United States of America,North America,Tampa,27.9475,-82.45861111111111,Jordan Clarkson versus Jared Dudley.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,guard,30.8,61,32.6,27.8,15.3,245,0.816,572,0.53,459,0.338,0.519,0.558,20.8,4,4.4,0.5,0.2,3,24.9,25.3,29.3,8.8,108.6,115.8
49,Karl-Anthony Towns,Karl-Anthony Towns,1995-11-15T00:00:00Z,United States of America,North America,Piscataway,40.499166666667,-74.399166666667,Karl-Anthony Towns 2015.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,center,27.4,29,33,25.6,16.7,135,0.874,264,0.576,164,0.366,0.565,0.618,20.8,8.1,4.8,0.7,0.6,3,28.9,25.6,33.7,11.3,117,104.5
50,Tyrese Haliburton,Tyrese Haliburton,2000-02-29T00:00:00Z,United States of America,North America,Oshkosh,44.024166666667,-88.561111111111,Tyrese Haliburton (51923778880) (cropped).jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,guard,23.1,56,33.6,23.9,14.4,203,0.867,439,0.572,402,0.4,0.586,0.624,20.7,3.7,10.4,1.6,0.4,2.5,24.4,31.2,34.8,11,128.9,119
51,Jerami Grant,Jerami Grant,1994-03-12T00:00:00Z,United States of America,North America,Portland,45.516666666667,-122.66666666667,Jerami Grant.jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,forward,29.1,63,35.6,22.8,11.3,342,0.813,554,0.523,359,0.401,0.554,0.606,20.5,4.5,2.4,0.8,0.8,1.8,25,22.9,27.3,6.8,117.1,116.1
